passengers,27
mail railway,28
mail monorail,29
mail maglev,30
oil railway,54
oil monorail,59
oil maglev,61
grain railway,49
grain monorail,54
grain maglev,56
goods railway,33
goods monorail,36
goods maglev,37
wood railway,46
wood monorail,51
wood maglev,53
armoured railway,32
armoured mono/mag,33
rubber railway,40
rubber monorail,45
rubber maglev,47
water railway,50
water monorail,55
water maglev,57
copper railway,49
copper monorail,54
copper maglev,56
food railway,47
food monorail,52
food maglev,54
fruit railway,43
fruit monorai,48
fruit maglev,50
