passengers,27
mail railway,28
mail monorail,29
mail maglev,30
oil railway,54
oil monorail,59
oil maglev,61
grain railway,49
grain monorail,54
grain maglev,56
goods railway,33
goods monorail,36
goods maglev,37
wood railway,46
wood monorail,51
wood maglev,53
armoured railway,32
armoured mono/mag,33
steel railway,38
steel monorail,43
steel maglev,45
coal railway,48
coal monorail,53
coal maglev,55
livestock railway,24
livestock monorail,25
livestock maglev,26
iron railway,49
iron monorail,54
iron maglev,56
